Source,Target,Type,Kind,Id,Label,timeset,Weight
@papaletaaa9,1267744616142516226,Directed,Quotes,1224,,<[2020-06-02T18:21:44.167Z]>,1
@robolivermd,1267884095243255808,Directed,Tweets,1225,,<[2020-06-02T18:21:44.273Z]>,1
1267884095243255808,@thekidjase,Directed,Has_mention,1226,,<[2020-06-02T18:21:44.273Z]>,1
@breezynews,1267884103254278146,Directed,Tweets,1227,,<[2020-06-02T18:21:46.320Z]>,1
1267884103254278146,@kosciuskofb,Directed,Has_mention,1228,,<[2020-06-02T18:21:46.320Z]>,1
1267884103254278146,"#countdowntokickoff",Directed,Has_hashtag,1229,,<[2020-06-02T18:21:46.320Z]>,1
1267884103254278146,https://www.breezynews.com/local/video-whippets-begin-football-workouts-under-strict-health-guidelines,Directed,Has_link,1230,,<[2020-06-02T18:21:46.320Z]>,1
@usurper19,1267884105053732864,Directed,Tweets,1231,,<[2020-06-02T18:21:46.624Z]>,1
1267884105053732864,https://www.theguardian.com/football/2020/jun/02/newcastles-deandre-yedlin-feels-us-is-an-unsafe-place-for-a-young-black-man?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1591121829,Directed,Has_link,1232,,<[2020-06-02T18:21:46.624Z]>,1
@usurper19,@guardian,Directed,Retweets_from,1233,,<[2020-06-02T18:21:46.624Z]>,1
@usurper19,1267882966459584514,Directed,Retweets,1234,,<[2020-06-02T18:21:46.624Z]>,1
@ravikiranmoturu,1267884107972788224,Directed,Tweets,1235,,<[2020-06-02T18:21:47.649Z]>,1
@greatbong,1267883728358961152,Directed,Tweets,1236,,<[2020-06-02T18:21:47.649Z]>,1
@kaustubhprasad,1267883067047178240,Directed,Tweets,1237,,<[2020-06-02T18:21:47.650Z]>,1
1267883067047178240,@greatbong,Directed,Has_mention,1238,,<[2020-06-02T18:21:47.650Z]>,1
@greatbong,@kaustubhprasad,Directed,Quotes_from,1239,,<[2020-06-02T18:21:47.650Z]>,1
@greatbong,1267883067047178240,Directed,Quotes,1240,,<[2020-06-02T18:21:47.650Z]>,1
@ravikiranmoturu,@greatbong,Directed,Retweets_from,1241,,<[2020-06-02T18:21:47.649Z]>,1
@ravikiranmoturu,1267883728358961152,Directed,Retweets,1242,,<[2020-06-02T18:21:47.649Z]>,1
@ravikiranmoturu,@kaustubhprasad,Directed,Quotes_from,1243,,<[2020-06-02T18:21:47.650Z]>,1
@ravikiranmoturu,1267883067047178240,Directed,Quotes,1244,,<[2020-06-02T18:21:47.650Z]>,1
@jailyndavis0,1267884111047413761,Directed,Tweets,1245,,<[2020-06-02T18:21:48.208Z]>,1
@audrianaangeles,1267883631151890432,Directed,Tweets,1246,,<[2020-06-02T18:21:48.209Z]>,1
@pittstate,1267819727771983877,Directed,Tweets,1247,,<[2020-06-02T18:21:48.209Z]>,1
@audrianaangeles,@pittstate,Directed,Quotes_from,1248,,<[2020-06-02T18:21:48.209Z]>,1
@audrianaangeles,1267819727771983877,Directed,Quotes,1249,,<[2020-06-02T18:21:48.209Z]>,1
@jailyndavis0,@audrianaangeles,Directed,Retweets_from,1250,,<[2020-06-02T18:21:48.209Z]>,1
@jailyndavis0,1267883631151890432,Directed,Retweets,1251,,<[2020-06-02T18:21:48.209Z]>,1
@jailyndavis0,@pittstate,Directed,Quotes_from,1252,,<[2020-06-02T18:21:48.209Z]>,1
@jailyndavis0,1267819727771983877,Directed,Quotes,1253,,<[2020-06-02T18:21:48.209Z]>,1
@federicosmos,1267884111613616129,Directed,Tweets,1254,,<[2020-06-02T18:21:48.211Z]>,1
1267884111613616129,@distasionicolas,Directed,Has_mention,1255,,<[2020-06-02T18:21:48.211Z]>,1
@federicosmos,@tycsports,Directed,Quotes_from,1256,,<[2020-06-02T18:21:48.211Z]>,1
@federicosmos,1267856243869261826,Directed,Quotes,1257,,<[2020-06-02T18:21:48.211Z]>,1
@rolandomontufa2,1267884112083386369,Directed,Tweets,1258,,<[2020-06-02T18:21:48.270Z]>,1
1267884112083386369,http://pbs.twimg.com/ext_tw_video_thumb/1265784093540847623/pu/img/iqT33O13lV0Ctqly.jpg,Directed,Has_media,1259,,<[2020-06-02T18:21:48.270Z]>,1
@lionosedan1,1265786000963522562,Directed,Tweets,1260,,<[2020-06-02T18:21:48.270Z]>,1
1265786000963522562,http://pbs.twimg.com/ext_tw_video_thumb/1265784093540847623/pu/img/iqT33O13lV0Ctqly.jpg,Directed,Has_media,1261,,<[2020-06-02T18:21:48.270Z]>,1
@rolandomontufa2,@lionosedan1,Directed,Retweets_from,1262,,<[2020-06-02T18:21:48.270Z]>,1
@rolandomontufa2,1265786000963522562,Directed,Retweets,1263,,<[2020-06-02T18:21:48.270Z]>,1
@juanluisbaldi,1267884113240952833,Directed,Tweets,1264,,<[2020-06-02T18:21:48.572Z]>,1
@juanluisbaldi,@tycsports,Directed,Retweets_from,1265,,<[2020-06-02T18:21:48.572Z]>,1
@juanluisbaldi,1267856243869261826,Directed,Retweets,1266,,<[2020-06-02T18:21:48.572Z]>,1
@daryladair,1267884114255810560,Directed,Tweets,1267,,<[2020-06-02T18:21:49.806Z]>,1
1267884114255810560,@bonitamersiades,Directed,Has_mention,1268,,<[2020-06-02T18:21:49.806Z]>,1
1267884114255810560,http://www.insideworldfootball.com/2020/06/02/blatter-turns-megalomaniac-infantino-swiss-justice-clears-caribbean-conniving/,Directed,Has_link,1269,,<[2020-06-02T18:21:49.806Z]>,1
@sergio_carano,1267884116537737218,Directed,Tweets,1270,,<[2020-06-02T18:21:49.807Z]>,1
@chuks__76,1267867576983605248,Directed,Tweets,1271,,<[2020-06-02T18:21:49.807Z]>,1
1267867576983605248,http://pbs.twimg.com/media/EZhe1pLWkAEylNl.jpg,Directed,Has_media,1272,,<[2020-06-02T18:21:49.807Z]>,1
@sergio_carano,@chuks__76,Directed,Retweets_from,1273,,<[2020-06-02T18:21:49.807Z]>,1
@sergio_carano,1267867576983605248,Directed,Retweets,1274,,<[2020-06-02T18:21:49.807Z]>,1
@mgbosco71,1267884119318573057,Directed,Tweets,1275,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,@connachtgaa,Directed,Has_mention,1276,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,@ulstergaa,Directed,Has_mention,1277,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,@galway_gaa,Directed,Has_mention,1278,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,@mayogaa,Directed,Has_mention,1279,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,@armagh_gaa,Directed,Has_mention,1280,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,@tyronegaalive,Directed,Has_mention,1281,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,@officialgaa,Directed,Has_mention,1282,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,"#gaa",Directed,Has_hashtag,1283,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,http://pbs.twimg.com/media/EZht1seXYAE7lf5.jpg,Directed,Has_media,1284,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,http://pbs.twimg.com/media/EZht2gHWsAALc7r.jpg,Directed,Has_media,1285,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,http://pbs.twimg.com/media/EZht3UIXYAErWfE.jpg,Directed,Has_media,1286,,<[2020-06-02T18:21:51.304Z]>,1
1267884119318573057,http://pbs.twimg.com/media/EZht4HoWoAcHlOt.jpg,Directed,Has_media,1287,,<[2020-06-02T18:21:51.304Z]>,1
